n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,D,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,D,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,D,1
73,6x6_2,random,6,4.319055,1798,1798,1,,D,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,E,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,K,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,F,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,I,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,1
73,6x6_2,random,6,4.319055,1798,1798,1,,A,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,J,1
73,6x6_2,random,6,4.319055,1798,1798,1,,B,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,G,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,1
73,6x6_2,random,6,4.319055,1798,1798,1,,L,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
73,6x6_2,random,6,4.319055,1798,1798,1,,X,-1
73,6x6_2,random,6,4.319055,1798,1798,1,,H,1
